"","name","address","vacancy","postcode","lga"
"7611","Esteem Kids St Edwards Tamworth","SOUTH TAMWORTH NSW 2340","Vacancy","2340","Tamworth Regional"
"7612","Bendemeer Preschool","BENDEMEER NSW 2355",NA,"2355","Tamworth Regional"
"7613","Peter Pan Preschool Kindergarten","SOUTH TAMWORTH NSW 2340",NA,"2340","Tamworth Regional"
"7614","Esteem Kids St Edwards Primary Tamworth","SOUTH TAMWORTH NSW 2340","No Vacancy","2340","Tamworth Regional"
"7615","St Peter's Preschool Tamworth","TAMWORTH NSW 2340",NA,"2340","Tamworth Regional"
"7616","St Mark's Preschool & Long Day Care Centre","TAMWORTH NSW 2340","No Vacancy","2340","Tamworth Regional"
"7617","Goodstart Early Learning Tamworth South","TAMWORTH SOUTH NSW 2340","Vacancy","2340","Tamworth Regional"
"7618","Tintinhull OSHC","KOOTINGAL NSW 2352","Vacancy","2352","Tamworth Regional"
"7619","Kootingal and District Preschool Inc - Kootingal","KOOTINGAL NSW 2352",NA,"2352","Tamworth Regional"
"7620","Esteem Kids Kootingal Public","KOOTINGAL NSW 2352","Vacancy","2352","Tamworth Regional"
"7621","Imagine Childcare and Preschool Tamworth","HILLVUE NSW 2340","Vacancy","2340","Tamworth Regional"
"7622","Goodstart Early Learning Calala","TAMWORTH NSW 2340","Vacancy","2340","Tamworth Regional"
"7623","Kingstown Pre-School","KINGSTOWN NSW 2358",NA,"2358","Uralla"
"7624","Barraba Pre-school","BARRABA NSW 2347",NA,"2347","Tamworth Regional"
"7625","Temora Preschool and Out of School Hours Inc","TEMORA NSW 2666","No Vacancy","2666","Temora"
"7626","Bright Beginnings Early Years Learning Centre Pty Ltd.","TEMORA NSW 2666","No Vacancy","2666","Temora"
"7627","A Dragons Tale Early Education Centre","TEMORA NSW 2666","Vacancy","2666","Temora"
"7628","Ariah Park Preschool Association Inc","ARIAH PARK NSW 2665",NA,"2665","Coolamon"
"7629","Junee Preschool","JUNEE NSW 2663",NA,"2663","Junee"
"7630","Junee Kids Early Learning","JUNEE NSW 2663","No Vacancy","2663","Junee"
"7631","Goodstart Early Learning Junee","JUNEE NSW 2663","Vacancy","2663","Junee"
"7632","Tenterfield Child Care Centre","TENTERFIELD NSW 2372","No Vacancy","2372","Tenterfield"
"7633","Tenterfield Preschool","TENTERFIELD NSW 2372",NA,"2372","Tenterfield"
"7634","Free Range Kids - Wallangarra","WALLANGARRA QLD 4383","Vacancy","4383","Southern Downs"
"7635","C&K Stanthorpe Community Kindergarten","STANTHORPE QLD 4380",NA,"4380","Southern Downs"
"7636","Milestones Early Learning Stanthorpe","STANTHORPE QLD 4380","No Vacancy","4380","Southern Downs"
"7637","Aussie Kindies Early Learning Stanthorpe","STANTHORPE QLD 4380","No Vacancy","4380","Southern Downs"
"7638","Southern Downs Regional Council Outside School Hours Care","STANTHORPE QLD 4380","No Vacancy","4380","Southern Downs"
"7639","Northwest Community Childcare @ Hillside","GLENORIE NSW 2157","No Vacancy","2157","The Hills Shire"
"7640","Glenorie Preschool","GLENORIE NSW 2157","No Vacancy","2157","The Hills Shire"
"7641","Northwest Community Childcare @ Glenorie","GLENORIE NSW 2157","No Vacancy","2157","The Hills Shire"
"7642","Maraylya Early Learning Centre","MARAYLYA NSW 2765","No Vacancy","2765","Blacktown"
"7643","Dooral Early Learning Centre","MIDDLE DURAL NSW 2158","No Vacancy","2158","Hornsby"
"7644","Dooral Kenthurst Early Learning Centre","KENTHURST NSW 2156","No Vacancy","2156","The Hills Shire"
"7645","Kenthurst Pre-School Kindergarten","KENTHURST NSW 2156",NA,"2156","The Hills Shire"
"7646","Ambrose Activities, Santa Sophia, Box Hill","BOX HILL NSW 2765","No Vacancy","2765","Blacktown"
"7647","Ambrose Early Learning, Santa Sophia, Box Hill","BOX HILL NSW 2765","No Vacancy","2765","Blacktown"
"7648","UnitingCare Galston Early Learning Centre","GALSTON NSW 2159","Vacancy","2159","Hornsby"
"7649","Camp Australia - Northholm Grammar School OSHC","ARCADIA NSW 2159","No Vacancy","2159","Hornsby"
"7650","Kenthurst Before and After School Care Centre","KENTHURST NSW 2156","No Vacancy","2156","The Hills Shire"
"7651","Northwest Community Childcare @ Arcadia","ARCADIA NSW 2159","No Vacancy","2159","Hornsby"
"7652","Northwest Community Childcare @ Annangrove","ANNANGROVE NSW 2156","No Vacancy","2156","The Hills Shire"
"7653","Oakville Pre-School Learning Centre","OAKVILLE NSW 2765","No Vacancy","2765","Blacktown"
"7654","KU - Galston Preschool","GALSTON NSW 2159",NA,"2159","Hornsby"
"7655","Annangrove Preschool Kindergarten","ANNANGROVE NSW 2156","No Vacancy","2156","The Hills Shire"
"7656","Galston OOSH Incorporated","GALSTON NSW 2159","No Vacancy","2159","Hornsby"
"7657","Cattai Public School TheirCare","CATTAI NSW 2756","No Vacancy","2756","Hawkesbury"
"7658","Rouse Hill Pre-School Kindergarten","ROUSE HILL NSW 2155","No Vacancy","2155","The Hills Shire"
"7659","Fit Kidz Learning Centre - Rouse Hill","ROUSE HILL NSW 2155","Vacancy","2155","The Hills Shire"
"7660","Brightly Early Learning Box Hill","BOX HILL NSW 2765","No Vacancy","2765","Blacktown"
"7661","Muddy Boots Pre-School","KENTHURST NSW 2156","No Vacancy","2156","The Hills Shire"
"7662","Ambrose School Age Care, St Madeleine's Kenthurst","KENTHURST NSW 2156","No Vacancy","2156","The Hills Shire"
"7663","Kiddie Academy Kellyville","NORTH KELLYVILLE NSW 2155","Vacancy","2155","The Hills Shire"
"7664","Glenhaven Early Learning Centre","KENTHURST NSW 2156","No Vacancy","2156","The Hills Shire"
"7665","North Kellyville Pre-School","NORTH KELLYVILLE NSW 2155","No Vacancy","2155","The Hills Shire"
"7666","Early Childhood Education Centre","KENTHURST NSW 2156","No Vacancy","2156","The Hills Shire"
"7667","Camp Australia - The Hills Grammar School OSHC","KENTHURST NSW 2156","Vacancy","2156","The Hills Shire"
"7668","Guardian Childcare & Education Rouse Hill North","ROUSE HILL NSW 2155","No Vacancy","2155","The Hills Shire"
"7669","Only Early Learning Centre Rouse Hill","ROUSE HILL NSW 2155","No Vacancy","2155","The Hills Shire"
"7670","Ambrose School Age Care, Our Lady of the Angels, Rouse Hill","KELLYVILLE NSW 2155","Vacancy","2155","The Hills Shire"
"7671","Climbing Ladders Early Learning & Montessori Centre","NORTH KELLYVILLE NSW 2155","Vacancy","2155","The Hills Shire"
"7672","Just For Kids Kellyville","KELLYVILLE NSW 2155","No Vacancy","2155","The Hills Shire"
"7673","Guardian Childcare & Education Rouse Hill OOSH","ROUSE HILL NSW 2155","No Vacancy","2155","The Hills Shire"
"7674","Rainbow Haven Kindergarten","GLENHAVEN NSW 2156","No Vacancy","2156","The Hills Shire"
"7675","Cool Bananas Early Learning Centre","BOX HILL NSW 2765","No Vacancy","2765","Blacktown"
"7676","Wiggles and Giggles Dural","DURAL NSW 2158","No Vacancy","2158","Hornsby"
"7677","Wesley Out of School Hours Care","KELLYVILLE NSW 2156","No Vacancy","2156","The Hills Shire"
"7678","Scribbles Kindy Preschool and Long Day Care Centre","KELLYVILLE NSW 2155","No Vacancy","2155","The Hills Shire"
"7679","Helping Hands Oakville","OAKVILLE NSW 2765","Vacancy","2765","Blacktown"
"7680","Jigsaw OOSH Dural Pty Ltd","DURAL NSW 2158","Vacancy","2158","Hornsby"
"7681","KT OOSH Services - IBRPS","ROUSE HILL NSW 2155","Vacancy","2155","The Hills Shire"
"7682","Ellerman Long Day Care Centre","ROUND CORNER NSW 2158","No Vacancy","2158","Hornsby"
"7683","Guardian Childcare & Education Kellyville","KELLYVILLE NSW 2155","Vacancy","2155","The Hills Shire"
"7684","Milestones Early Learning Pitt Town","PITT TOWN NSW 2756","Vacancy","2756","Hawkesbury"
"7685","The Berry Patch Preschool and Long Day Care Centre","ROUSE HILL NSW 2155","No Vacancy","2155","The Hills Shire"
"7686","Young Academics Early Learning Centre Rouse Hill","ROUSE HILL NSW 2155","No Vacancy","2155","The Hills Shire"
"7687","Young Academics Early Learning Centre Rouse Hill Adelphi St","ROUSE HILL NSW 2155","No Vacancy","2155","The Hills Shire"
"7688","Flourish Early Learning Centre Oakville","OAKVILLE NSW 2765","No Vacancy","2765","Blacktown"
"7689","Guardian Childcare & Education Rouse Hill South","ROUSE HILL NSW 2155","Vacancy","2155","The Hills Shire"
"7690","Child's Play Before and After School Care","KELLYVILLE NSW 2155","No Vacancy","2155","The Hills Shire"
"7691","DISCOVER MY WORLD KELLYVILLE","NORTH KELLYVILLE NSW 2155","No Vacancy","2155","The Hills Shire"
"7692","Mini Miracles - Kellyville","KELLYVILLE NSW 2155","No Vacancy","2155","The Hills Shire"
"7693","Milestones Early Learning Kellyville North","KELLYVILLE NSW 2155","Vacancy","2155","The Hills Shire"
"7694","Jigsaw OOSH Beaumont Hills Pty Ltd","BEAUMONT HILLS NSW 2155","Vacancy","2155","The Hills Shire"
"7695","The Children's Preschool Pty. Ltd.","GLENHAVEN NSW 2156","No Vacancy","2156","The Hills Shire"
"7696","First Steps Learning Academy","BEAUMONT HILLS NSW 2155","No Vacancy","2155","The Hills Shire"
"7697","First Steps Learning Academy - Preschool","BEAUMONT HILLS NSW 2155","No Vacancy","2155","The Hills Shire"
"7698","KT OOSH Services - RHAC","ROUSE HILL NSW 2155","Vacancy","2155","The Hills Shire"
"7699","Cubby OOSH at Glenhaven","GLENHAVEN NSW 2156","No Vacancy","2156","The Hills Shire"
"7700","Oakville Montessori Early Learning Centre","OAKVILLE NSW 2765","No Vacancy","2765","Blacktown"
"7701","Little Angels Early Learning Centre No 2 Pty Ltd","DURAL NSW 2158","No Vacancy","2158","Hornsby"
"7702","Pitt Town Public School TheirCare","PITT TOWN NSW 2756","Vacancy","2756","Hawkesbury"
"7703","Fit Kidz Learning Centre Dural North","DURAL NSW 2158","Vacancy","2158","Hornsby"
"7704","Lorien Novalis Preschool","DURAL NSW 2158",NA,"2158","Hornsby"
